id,label
TXT0001,Distribusi
TXT0002,Distribusi
TXT0003,Kualitas Pangan
TXT0004,Sasaran Penerima
TXT0005,Kualitas Pangan
TXT0006,Kualitas Pangan
TXT0007,Politik
TXT0008,Ekonomi
TXT0009,Kualitas Pangan
TXT0010,Tata Kelola
TXT0011,Kualitas Pangan
TXT0012,Lainnya
TXT0013,Tata Kelola
TXT0014,Sasaran Penerima
TXT0015,Distribusi
TXT0016,Kualitas Pangan
TXT0017,Kualitas Pangan
TXT0018,Anggaran
TXT0019,Kualitas Pangan
TXT0020,Kualitas Pangan
TXT0021,Anggaran
TXT0022,Sasaran Penerima
TXT0023,Kualitas Pangan
TXT0024,Anggaran
TXT0025,Politik
TXT0026,Sasaran Penerima
TXT0027,Kualitas Pangan
TXT0028,Tata Kelola
TXT0029,Lainnya
TXT0030,Distribusi
TXT0031,Kualitas Pangan
TXT0032,Sasaran Penerima
TXT0033,Lainnya
TXT0034,Ekonomi
TXT0035,Distribusi
TXT0036,Anggaran
TXT0037,Lainnya
TXT0038,Kualitas Pangan
TXT0039,Kualitas Pangan
TXT0040,Distribusi
TXT0041,Politik
TXT0042,Lainnya
TXT0043,Politik
TXT0044,Anggaran
TXT0045,Tata Kelola
TXT0046,Tata Kelola
TXT0047,Anggaran
TXT0048,Distribusi
TXT0049,Lainnya
TXT0050,Kualitas Pangan
TXT0051,Politik
TXT0052,Anggaran
TXT0053,Distribusi
TXT0054,Politik
TXT0055,Kualitas Pangan
TXT0056,Anggaran
TXT0057,Sasaran Penerima
TXT0058,Kualitas Pangan
TXT0059,Tata Kelola
TXT0060,Politik
TXT0061,Anggaran
TXT0062,Politik
TXT0063,Lainnya
TXT0064,Distribusi
TXT0065,Anggaran
TXT0066,Lainnya
TXT0067,Kualitas Pangan
TXT0068,Distribusi
TXT0069,Politik
TXT0070,Distribusi
TXT0071,Kualitas Pangan
TXT0072,Tata Kelola
TXT0073,Distribusi
TXT0074,Lainnya
TXT0075,Kualitas Pangan
TXT0076,Politik
TXT0077,Tata Kelola
TXT0078,Kualitas Pangan
TXT0079,Kualitas Pangan
TXT0080,Tata Kelola
TXT0081,Kualitas Pangan
TXT0082,Anggaran
TXT0083,Lainnya
TXT0084,Lainnya
TXT0085,Politik
TXT0086,Anggaran
TXT0087,Kualitas Pangan
TXT0088,Kualitas Pangan
TXT0089,Kualitas Pangan
TXT0090,Kualitas Pangan
TXT0091,Anggaran
TXT0092,Kualitas Pangan
TXT0093,Tata Kelola
TXT0094,Tata Kelola
TXT0095,Kualitas Pangan
TXT0096,Distribusi
TXT0097,Sasaran Penerima
TXT0098,Politik
TXT0099,Tata Kelola
TXT0100,Distribusi
TXT0101,Anggaran
TXT0102,Kualitas Pangan
TXT0103,Ekonomi
TXT0104,Kualitas Pangan
TXT0105,Anggaran
TXT0106,Anggaran
TXT0107,Kualitas Pangan
TXT0108,Kualitas Pangan
TXT0109,Lainnya
TXT0110,Anggaran
TXT0111,Kualitas Pangan
TXT0112,Politik
TXT0113,Kualitas Pangan
TXT0114,Anggaran
TXT0115,Kualitas Pangan
TXT0116,Lainnya
TXT0117,Distribusi
TXT0118,Ekonomi
TXT0119,Anggaran
TXT0120,Kualitas Pangan
TXT0121,Tata Kelola
TXT0122,Lainnya
TXT0123,Sasaran Penerima
TXT0124,Politik
TXT0125,Kualitas Pangan
TXT0126,Kualitas Pangan
TXT0127,Kualitas Pangan
TXT0128,Anggaran
TXT0129,Kualitas Pangan
TXT0130,Tata Kelola
TXT0131,Lainnya
TXT0132,Distribusi
TXT0133,Tata Kelola
TXT0134,Lainnya
TXT0135,Kualitas Pangan
TXT0136,Lainnya
TXT0137,Kualitas Pangan
TXT0138,Distribusi
TXT0139,Sasaran Penerima
TXT0140,Distribusi
TXT0141,Kualitas Pangan
TXT0142,Distribusi
TXT0143,Sasaran Penerima
TXT0144,Kualitas Pangan
TXT0145,Ekonomi
TXT0146,Kualitas Pangan
TXT0147,Lainnya
TXT0148,Kualitas Pangan
TXT0149,Kualitas Pangan
TXT0150,Tata Kelola
TXT0151,Sasaran Penerima
TXT0152,Anggaran
TXT0153,Anggaran
TXT0154,Anggaran
TXT0155,Tata Kelola
TXT0156,Kualitas Pangan
TXT0157,Distribusi
TXT0158,Politik
TXT0159,Lainnya
TXT0160,Politik
TXT0161,Kualitas Pangan
TXT0162,Politik
TXT0163,Politik
TXT0164,Distribusi
TXT0165,Anggaran
TXT0166,Kualitas Pangan
TXT0167,Sasaran Penerima
TXT0168,Ekonomi
TXT0169,Distribusi
TXT0170,Distribusi
TXT0171,Sasaran Penerima
TXT0172,Kualitas Pangan
TXT0173,Distribusi
TXT0174,Kualitas Pangan
TXT0175,Anggaran
TXT0176,Ekonomi
TXT0177,Sasaran Penerima
TXT0178,Sasaran Penerima
TXT0179,Anggaran
TXT0180,Tata Kelola
TXT0181,Kualitas Pangan
TXT0182,Politik
TXT0183,Politik
TXT0184,Kualitas Pangan
TXT0185,Lainnya
TXT0186,Kualitas Pangan
TXT0187,Kualitas Pangan
TXT0188,Lainnya
TXT0189,Ekonomi
TXT0190,Sasaran Penerima
TXT0191,Politik
TXT0192,Kualitas Pangan
TXT0193,Politik
TXT0194,Tata Kelola
TXT0195,Sasaran Penerima
TXT0196,Politik
TXT0197,Anggaran
TXT0198,Distribusi
TXT0199,Anggaran
TXT0200,Kualitas Pangan
TXT0201,Anggaran
TXT0202,Lainnya
TXT0203,Tata Kelola
TXT0204,Distribusi
TXT0205,Politik
TXT0206,Kualitas Pangan
TXT0207,Tata Kelola
TXT0208,Tata Kelola
TXT0209,Tata Kelola
TXT0210,Kualitas Pangan
TXT0211,Tata Kelola
TXT0212,Distribusi
TXT0213,Anggaran
TXT0214,Distribusi
TXT0215,Sasaran Penerima
TXT0216,Anggaran
TXT0217,Lainnya
TXT0218,Kualitas Pangan
TXT0219,Anggaran
TXT0220,Sasaran Penerima
TXT0221,Kualitas Pangan
TXT0222,Anggaran
TXT0223,Tata Kelola
TXT0224,Sasaran Penerima
TXT0225,Politik
TXT0226,Kualitas Pangan
TXT0227,Distribusi
TXT0228,Sasaran Penerima
TXT0229,Politik
TXT0230,Distribusi
TXT0231,Distribusi
TXT0232,Tata Kelola
TXT0233,Politik
TXT0234,Kualitas Pangan
TXT0235,Sasaran Penerima
TXT0236,Ekonomi
TXT0237,Distribusi
TXT0238,Distribusi
TXT0239,Kualitas Pangan
TXT0240,Ekonomi
TXT0241,Politik
TXT0242,Kualitas Pangan
TXT0243,Kualitas Pangan
TXT0244,Kualitas Pangan
TXT0245,Anggaran
TXT0246,Kualitas Pangan
TXT0247,Kualitas Pangan
TXT0248,Kualitas Pangan
TXT0249,Anggaran
TXT0250,Sasaran Penerima
TXT0251,Distribusi
TXT0252,Distribusi
TXT0253,Lainnya
TXT0254,Anggaran
TXT0255,Tata Kelola
TXT0256,Kualitas Pangan
TXT0257,Tata Kelola
TXT0258,Sasaran Penerima
TXT0259,Tata Kelola
TXT0260,Anggaran
TXT0261,Ekonomi
TXT0262,Tata Kelola
TXT0263,Politik
TXT0264,Distribusi
TXT0265,Tata Kelola
TXT0266,Distribusi
TXT0267,Anggaran
TXT0268,Politik
TXT0269,Anggaran
TXT0270,Kualitas Pangan
TXT0271,Lainnya
TXT0272,Kualitas Pangan
TXT0273,Anggaran
TXT0274,Kualitas Pangan
TXT0275,Politik
TXT0276,Kualitas Pangan
TXT0277,Lainnya
TXT0278,Distribusi
TXT0279,Politik
TXT0280,Anggaran
TXT0281,Kualitas Pangan
TXT0282,Sasaran Penerima
TXT0283,Tata Kelola
TXT0284,Kualitas Pangan
TXT0285,Ekonomi
TXT0286,Anggaran
TXT0287,Sasaran Penerima
TXT0288,Anggaran
TXT0289,Distribusi
TXT0290,Lainnya
TXT0291,Sasaran Penerima
TXT0292,Anggaran
TXT0293,Politik
TXT0294,Kualitas Pangan
TXT0295,Anggaran
TXT0296,Lainnya
TXT0297,Lainnya
TXT0298,Politik
TXT0299,Anggaran
TXT0300,Politik
TXT0301,Tata Kelola
TXT0302,Lainnya
TXT0303,Sasaran Penerima
TXT0304,Tata Kelola
TXT0305,Tata Kelola
TXT0306,Lainnya
TXT0307,Lainnya
TXT0308,Kualitas Pangan
TXT0309,Anggaran
TXT0310,Kualitas Pangan
TXT0311,Ekonomi
TXT0312,Ekonomi
TXT0313,Politik
TXT0314,Distribusi
TXT0315,Sasaran Penerima
TXT0316,Distribusi
TXT0317,Ekonomi
TXT0318,Kualitas Pangan
TXT0319,Tata Kelola
TXT0320,Lainnya
TXT0321,Politik
TXT0322,Anggaran
TXT0323,Kualitas Pangan
TXT0324,Anggaran
TXT0325,Politik
TXT0326,Kualitas Pangan
TXT0327,Politik
TXT0328,Kualitas Pangan
TXT0329,Kualitas Pangan
TXT0330,Anggaran
TXT0331,Kualitas Pangan
TXT0332,Distribusi
TXT0333,Politik
TXT0334,Kualitas Pangan
TXT0335,Anggaran
TXT0336,Politik
TXT0337,Kualitas Pangan
TXT0338,Anggaran
TXT0339,Distribusi
TXT0340,Ekonomi
TXT0341,Kualitas Pangan
TXT0342,Politik
TXT0343,Kualitas Pangan
TXT0344,Distribusi
TXT0345,Politik
TXT0346,Anggaran
TXT0347,Politik
TXT0348,Distribusi
TXT0349,Politik
TXT0350,Distribusi
TXT0351,Tata Kelola
TXT0352,Distribusi
TXT0353,Lainnya
TXT0354,Politik
TXT0355,Distribusi
TXT0356,Anggaran
TXT0357,Politik
TXT0358,Anggaran
TXT0359,Kualitas Pangan
TXT0360,Kualitas Pangan
TXT0361,Sasaran Penerima
TXT0362,Anggaran
TXT0363,Kualitas Pangan
TXT0364,Distribusi
TXT0365,Distribusi
TXT0366,Anggaran
TXT0367,Kualitas Pangan
TXT0368,Distribusi
TXT0369,Anggaran
TXT0370,Kualitas Pangan
TXT0371,Anggaran
TXT0372,Tata Kelola
TXT0373,Anggaran
TXT0374,Distribusi
TXT0375,Lainnya
TXT0376,Tata Kelola
TXT0377,Lainnya
TXT0378,Lainnya
TXT0379,Sasaran Penerima
TXT0380,Sasaran Penerima
TXT0381,Kualitas Pangan
TXT0382,Anggaran
TXT0383,Politik
TXT0384,Lainnya
TXT0385,Sasaran Penerima
TXT0386,Distribusi
TXT0387,Politik
TXT0388,Politik
TXT0389,Anggaran
TXT0390,Tata Kelola
TXT0391,Kualitas Pangan
TXT0392,Kualitas Pangan
TXT0393,Politik
TXT0394,Sasaran Penerima
TXT0395,Kualitas Pangan
TXT0396,Distribusi
TXT0397,Anggaran
TXT0398,Lainnya
TXT0399,Kualitas Pangan
TXT0400,Tata Kelola
TXT0401,Politik
TXT0402,Kualitas Pangan
TXT0403,Tata Kelola
TXT0404,Kualitas Pangan
TXT0405,Anggaran
TXT0406,Distribusi
TXT0407,Sasaran Penerima
TXT0408,Kualitas Pangan
TXT0409,Politik
TXT0410,Distribusi
TXT0411,Lainnya
TXT0412,Kualitas Pangan
TXT0413,Ekonomi
TXT0414,Tata Kelola
TXT0415,Distribusi
TXT0416,Politik
TXT0417,Anggaran
TXT0418,Anggaran
TXT0419,Tata Kelola
TXT0420,Politik
TXT0421,Anggaran
TXT0422,Tata Kelola
TXT0423,Distribusi
TXT0424,Sasaran Penerima
TXT0425,Tata Kelola
TXT0426,Distribusi
TXT0427,Ekonomi
TXT0428,Politik
TXT0429,Kualitas Pangan
TXT0430,Kualitas Pangan
TXT0431,Anggaran
TXT0432,Kualitas Pangan
TXT0433,Politik
TXT0434,Kualitas Pangan
TXT0435,Kualitas Pangan
TXT0436,Tata Kelola
TXT0437,Politik
TXT0438,Kualitas Pangan
TXT0439,Distribusi
TXT0440,Anggaran
TXT0441,Distribusi
TXT0442,Tata Kelola
TXT0443,Sasaran Penerima
TXT0444,Lainnya
TXT0445,Lainnya
TXT0446,Anggaran
TXT0447,Anggaran
TXT0448,Ekonomi
TXT0449,Distribusi
TXT0450,Kualitas Pangan
TXT0451,Sasaran Penerima
TXT0452,Distribusi
TXT0453,Anggaran
TXT0454,Lainnya
TXT0455,Lainnya
TXT0456,Kualitas Pangan
TXT0457,Sasaran Penerima
TXT0458,Kualitas Pangan
TXT0459,Distribusi
TXT0460,Sasaran Penerima
TXT0461,Ekonomi
TXT0462,Lainnya
TXT0463,Sasaran Penerima
TXT0464,Kualitas Pangan
TXT0465,Politik
TXT0466,Kualitas Pangan
TXT0467,Politik
TXT0468,Ekonomi
TXT0469,Distribusi
TXT0470,Lainnya
TXT0471,Lainnya
TXT0472,Kualitas Pangan
TXT0473,Tata Kelola
TXT0474,Anggaran
TXT0475,Kualitas Pangan
TXT0476,Tata Kelola
TXT0477,Anggaran
TXT0478,Distribusi
TXT0479,Kualitas Pangan
TXT0480,Kualitas Pangan
TXT0481,Kualitas Pangan
TXT0482,Tata Kelola
TXT0483,Distribusi
TXT0484,Kualitas Pangan
TXT0485,Anggaran
TXT0486,Lainnya
TXT0487,Tata Kelola
TXT0488,Anggaran
TXT0489,Sasaran Penerima
TXT0490,Tata Kelola
TXT0491,Tata Kelola
TXT0492,Distribusi
TXT0493,Anggaran
TXT0494,Tata Kelola
TXT0495,Distribusi
TXT0496,Tata Kelola
TXT0497,Sasaran Penerima
TXT0498,Sasaran Penerima
TXT0499,Kualitas Pangan
TXT0500,Sasaran Penerima
TXT0501,Anggaran
TXT0502,Anggaran
TXT0503,Anggaran
TXT0504,Lainnya
